,BAC = .00,,BAC = .01--.07,,BAC = .08+,,Total,Total Fatalities in Alcohol--Related Crashes,,
Year,Number,Percent,Number,Percent,Number,Percent,,Number,Percent,
,,,,,,,,,,
1994,24948,61,2236,5,13390,33,40716,15626,38,
1995,25768,62,2416,6,13478,32,41817,15893,38,
1996,26052,62,2415,6,13451,32,42065,15866,38,
1997,26902,64,2216,5,12757,30,42013,14973,36,
1998,26477,64,2353,6,12546,30,41501,14899,36,
1999,26798,64,2235,5,12555,30,41717,14790,35,
2000,26082,62,2422,6,13324,32,41945,15746,38,
2001,26334,62,2441,6,13290,31,42196,15731,37,
2002,27080,63,2321,5,13472,31,43005,15793,37,
2003,27328,64,2327,5,13096,31,42884,15423,36,
2004,27413,64,2212,5,13099,31,42836,15311,36,
2005,27423,63,2404,6,13582,31,43510,15985,37,
2006,26633,62,2479,6,13491,32,42708,15970,37,
2007,25611,62,2494,6,13041,32,41259,15534,38,
2008,23499,63,2115,6,11711,31,37423,13826,37,
2009,21051,62,1972,6,10759,32,33883,12731,38,
2010,21005,64,1771,5,10136,31,32999,11906,36,
2011,20848,64,1662,5,9865,30,32479,11527,35,
2012,21563,64,1782,5,10336,31,33782,12118,36,
2013,20865,63,1834,6,10084,31,32893,11918,36,
2014,20913,64,1800,5,9943,30,32744,11743,36,
2015,23165,65,1930,5,10280,29,35484,12210,34,
2016,24762,65,1984,5,10967,29,37806,12951,34,
2017,24589,66,1895,5,10880,29,37473,12775,34,
2018,24186,66,1850,5,10710,29,36835,12560,34,
2019,24251,67,1834,5,10196,28,36355,12029,33,
2020,25121,64,2073,5,11727,30,39007,13800,35,
2021,27243,63,2329,5,13599,31,43230,15927,37,
2022,26801,63,2388,6,13458,32,42721,15846,37,
2023,26284,64,2117,5,12429,30,40901,14547,36,