,,Person Type,,,,,,,,,,,,,
,,Driver,,Passenger,,Pedestrian,,Pedalcyclist,,Other/Unknown,,Total Killed,,,
State,Number,Percent,Number,Percent,Number,Percent,Number,Percent,Number,Percent,Number,Percent,,,
,,,,,,,,,,,,,,,
Alabama,592,60.8,152,15.6,94,9.7,124,12.7,10,1.0,2,0.2,974,100.0,
Alaska,27,45.0,13,21.7,8,13.3,12,20.0,0,0.0,0,0.0,60,100.0,
Arizona,495,38.0,234,17.9,257,19.7,271,20.8,43,3.3,4,0.3,1304,100.0,
Arkansas,314,52.7,98,16.4,93,15.6,74,12.4,11,1.8,6,1.0,596,100.0,
California,1576,38.8,591,14.6,583,14.4,1106,27.2,145,3.6,60,1.5,4061,100.0,
Colorado,312,43.3,116,16.1,135,18.8,125,17.4,20,2.8,12,1.7,720,100.0,
Connecticut,152,49.4,44,14.3,59,19.2,47,15.3,4,1.3,2,0.6,308,100.0,
Delaware,67,49.6,20,14.8,14,10.4,27,20.0,5,3.7,2,1.5,135,100.0,
District of Columbia,13,29.5,5,11.4,6,13.6,14,31.8,3,6.8,3,6.8,44,100.0,
Florida,1274,37.5,413,12.2,668,19.7,771,22.7,234,6.9,36,1.1,3396,100.0,
Georgia,833,51.6,241,14.9,196,12.1,310,19.2,24,1.5,11,0.7,1615,100.0,
Hawaii,32,34.4,4,4.3,27,29.0,22,23.7,8,8.6,0,0.0,93,100.0,
Idaho,137,49.8,60,21.8,39,14.2,31,11.3,7,2.5,1,0.4,275,100.0,
Illinois,638,51.4,183,14.7,172,13.9,199,16.0,41,3.3,8,0.6,1241,100.0,
Indiana,470,52.3,149,16.6,145,16.1,96,10.7,31,3.5,7,0.8,898,100.0,
Iowa,209,55.4,70,18.6,62,16.4,29,7.7,5,1.3,2,0.5,377,100.0,
Kansas,235,60.7,65,16.8,42,10.9,38,9.8,6,1.6,1,0.3,387,100.0,
Kentucky,450,55.3,117,14.4,106,13.0,121,14.9,16,2.0,4,0.5,814,100.0,
Louisiana,411,50.7,119,14.7,97,12.0,145,17.9,35,4.3,4,0.5,811,100.0,
Maine,76,56.3,23,17.0,16,11.9,19,14.1,0,0.0,1,0.7,135,100.0,
Maryland,263,42.4,87,14.0,89,14.3,160,25.8,15,2.4,7,1.1,621,100.0,
Massachusetts,166,48.4,38,11.1,60,17.5,67,19.5,9,2.6,3,0.9,343,100.0,
Michigan,539,49.3,167,15.3,180,16.5,175,16.0,24,2.2,9,0.8,1094,100.0,
Minnesota,222,54.3,68,16.6,69,16.9,42,10.3,6,1.5,2,0.5,409,100.0,
Mississippi,448,61.2,124,16.9,58,7.9,86,11.7,13,1.8,3,0.4,732,100.0,
Missouri,521,52.6,149,15.0,176,17.8,127,12.8,10,1.0,8,0.8,991,100.0,
Montana,121,58.2,36,17.3,29,13.9,20,9.6,2,1.0,0,0.0,208,100.0,
Nebraska,140,61.7,44,19.4,22,9.7,13,5.7,6,2.6,2,0.9,227,100.0,
Nevada,145,37.3,54,13.9,69,17.7,106,27.2,14,3.6,1,0.3,389,100.0,
New Hampshire,57,43.8,15,11.5,41,31.5,15,11.5,1,0.8,1,0.8,130,100.0,
New Jersey,230,38.0,85,14.0,90,14.9,165,27.2,27,4.5,9,1.5,606,100.0,
New Mexico,194,44.4,67,15.3,55,12.6,105,24.0,12,2.7,4,0.9,437,100.0,
New York,407,36.5,153,13.7,201,18.0,289,25.9,49,4.4,15,1.3,1114,100.0,
North Carolina,833,53.4,220,14.1,223,14.3,229,14.7,46,2.9,10,0.6,1561,100.0,
North Dakota,62,58.5,18,17.0,16,15.1,10,9.4,0,0.0,0,0.0,106,100.0,
Ohio,655,52.7,166,13.4,239,19.2,145,11.7,22,1.8,15,1.2,1242,100.0,
Oklahoma,391,54.5,118,16.4,103,14.3,87,12.1,15,2.1,4,0.6,718,100.0,
Oregon,299,50.9,85,14.5,70,11.9,101,17.2,17,2.9,15,2.6,587,100.0,
Pennsylvania,588,48.6,156,12.9,240,19.8,185,15.3,29,2.4,13,1.1,1211,100.0,
Rhode Island,34,47.9,7,9.9,16,22.5,11,15.5,2,2.8,1,1.4,71,100.0,
South Carolina,536,51.2,143,13.7,151,14.4,187,17.9,25,2.4,5,0.5,1047,100.0,
South Dakota,70,50.0,24,17.1,29,20.7,15,10.7,0,0.0,2,1.4,140,100.0,
Tennessee,699,52.8,215,16.3,203,15.3,186,14.1,11,0.8,9,0.7,1323,100.0,
Texas,2058,48.0,687,16.0,598,13.9,800,18.6,106,2.5,42,1.0,4291,100.0,
Utah,141,50.4,47,16.8,42,15.0,38,13.6,9,3.2,3,1.1,280,100.0,
Vermont,35,50.7,10,14.5,18,26.1,5,7.2,1,1.4,0,0.0,69,100.0,
Virginia,511,56.0,123,13.5,130,14.2,129,14.1,15,1.6,5,0.5,913,100.0,
Washington,325,40.1,164,20.2,143,17.7,150,18.5,18,2.2,10,1.2,810,100.0,
West Virginia,154,59.2,49,18.8,38,14.6,15,5.8,4,1.5,0,0.0,260,100.0,
Wisconsin,311,53.3,98,16.8,103,17.7,59,10.1,8,1.4,4,0.7,583,100.0,
Wyoming,85,59.0,30,20.8,15,10.4,11,7.6,2,1.4,1,0.7,144,100.0,
USA,19553,47.8,6164,15.1,6335,15.5,7314,17.9,1166,2.9,369,0.9,40901,100.0,